EPS-Annual Basis,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Payout_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
0.027640272,AMRS,2014,-0.262767529,34.87873585,2022722528,-0.465986887,174.5984056,0,-2.737079356,4,1
-1.717464503,AMRS,2015,-0.37063378,-42.80391952,2018718452,0.20744227,257.391107,0,-1.708533099,2,0
1.699482387,TAP,2005,-0.476594936,64.60372626,1962596600,0.005938243,4.830555173,0.909509859,1.307056949,2,1
-3.197121453,TLRY,2019,-1.175284499,-8.770711475,1930758112,-0.771676756,41.13597477,0,2.142029859,4,0
-0.815844846,TLRY,2018,-0.45332,26.65649995,1713000000,1.823863314,-0.598175303,-0.434751486,2.022024181,2,0
-0.170000001,SMG,2008,9.894000069,-44.99108703,1484705872,-0.075688073,2.729238735,1.696969697,3.94266055,3,0
5.294437418,TAP,2004,-8.189698323,8.715665328,1361134170,0.097535796,0.352285468,0.049253703,0.042497155,4,1
3.03030303,SMG,2005,14.39393939,14.39764045,1281390000,0.042040624,1.406575192,0,0.519603212,3,1
5.294437418,TAP,2004,3.26353606,19.00139294,1276817600,0.047141392,5.620216301,0.113369843,2.15851956,2,1
-0.170000001,SMG,2008,8.46875,57.39636364,1262720000,0.044088176,1.078326217,0.363636364,4.476953908,2,0
5.294437418,TAP,2004,4.030409042,30.99033157,1257122800,0.026816643,2.843583787,0.188955997,1.938109184,3,1
5.294437418,TAP,2004,0.907647829,120.78,1221277840,0.003556169,1.322429121,1.561983471,2.279799267,1,1
3.03030303,SMG,2005,-15.63636364,60.0105,1200210000,0.009363296,1.164122211,0,0.570224719,2,1
-0.408211372,AMRS,2016,-0.070390218,-83.74369389,1136066951,0.088050886,118.3649668,0,-1.687109755,2,0
4.472966242,TAP,2002,1.80805202,9.685798981,1114196200,0.117160343,0.401552082,0.064754768,3.376846385,4,1
4.806456052,TAP,2003,5.564973306,28.29008121,1020734420,0.028469057,0.997910218,0.206784734,0.033214295,4,1
4.806456052,TAP,2003,4.966662078,16.31514537,1002206750,0.053468749,0.955643954,0.121410432,2.731892888,3,1
4.806456052,TAP,2003,1.040951854,112,951927600,0.00080686,1.149475271,9.243176179,3.098344836,1,1
-8.5,TLRY,2020,-0.67930418,-4.654660111,857029984,-0.967500053,16.44908033,0,3.810959077,1,0
-5.578745861,AMRS,2010,-7.430394539,-33.14036188,667148625,-0.06344489,27.53967492,0,0.150643399,3,0
-8.5,CRBP,2020,-0.405136334,-15.13599461,448885000,-1.306956925,254.7503602,0,1.873492309,1,0
-1.118225829,CRBP,2019,0.166105113,-0.01678556,440365955,-620.1943072,233.5313985,0,1.396956182,1,0
-8.5,AMRS,2020,-0.299041112,-4.776039955,418677215,0.482353718,14.37271591,0,-1.889731372,1,0
