,EPS-Annual Basis,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
188,-3.632594165,AMRS,2012,-0.55275509,-60.64061795,2858295527,-0.512153249,148.382678,2.206273837,2,0
189,-1.7174645030000002,AMRS,2015,-0.259251665,-66.75018481,2799502751,0.26533388199999997,284.30006610000004,-1.697168886,4,0
190,2.61102107,SMG,2013,-6.281300813,27.85335,2785335000,0.164771791,2.7317918789999998,3.773274015,1,1
191,1.745901639,SMG,2012,-3.153094463,-40.94263636,2702214000,-0.128454652,13.13029155,3.141884002,4,1
192,-1.7174645030000002,AMRS,2015,-0.041352123,-51.38776796,2685627529,0.281656894,341.1620337,-2.040430715,1,0
193,1.74000002,SMG,2007,8.830769231,20.7748062,2679950000,0.25494071100000004,2.44075592,4.173913043,2,1
194,2.360000017,SMG,2009,10.11869288,-175.56101569999998,2633415235,-0.025684932,4.517007264,2.7996575339999996,3,1
195,1.970149254,SMG,2006,8.23880597,19.7624812,2628410000,0.099253731,2.508024809,0.15,3,1
196,2.360000017,SMG,2009,9.59375,17.44,2581120000,0.24584717600000003,2.0165,3.5,2,1
197,1.745901639,SMG,2012,0.129508197,-63.88225,2555290000,-0.066456222,6.738633966,2.446419671,3,1
198,-1.7174645030000002,AMRS,2015,-0.194060105,-33.09006921,2537611227,0.543235413,295.38019180000003,-1.956435195,3,0
199,1.699482387,TAP,2005,-2.6270166109999997,18.60566502,2510722860,0.025342943,0.455922592,1.2002020009999999,4,1
200,-3.632594165,AMRS,2012,-0.549720935,-57.34988818,2501258023,-0.649926981,427.2733213,2.6186630109999998,4,0
201,1.699482387,TAP,2005,-1.510189205,-47.18616045,2440940080,-0.010050366,2.293804021,1.282188178,1,1
202,2.360000017,SMG,2009,-7.15625,31.28519481,2408960000,0.169977925,2.5093333330000003,5.549668874,1,1
203,1.745901639,SMG,2012,11.83934426,25.805680600000002,2407670000,0.1384273,2.266682357,2.537240356,2,1
204,-3.632594165,AMRS,2012,-1.231842982,-24.84357944,2357556314,-0.714062124,80.00123229,1.4237599330000001,1,0
205,-2.242511449,AMRS,2017,-0.08755023,-62.86472531,2349317650,0.176122118,180.99519640000003,-1.44980866,1,0
206,-3.632594165,AMRS,2012,-0.505517718,-111.58001090000002,2274893262,-0.263189828,119.0544935,2.376750791,3,0
207,1.74000002,SMG,2007,-3.046875,-39.02857143,2185600000,-0.134292566,7.096103896,4.7745803360000005,4,1
